ableiten;auf der Grundlage von Erkenntnissen oder Daten sachgerechte Schlüsse ziehen
abschätzen;durch begründete Überlegungen Größenwerte angeben
analysieren;wichtige Bestandteile, Eigenschaften oder Zusammenhänge auf eine bestimmte Fragestellung hin herausarbeiten
anwenden;einen bekannten Sachverhalt oder eine bekannte Methode auf etwas Neues beziehen
aufbauen;Objekte und Geräte zielgerichtet anordnen und kombinieren
aufstellen;chemische Formeln, Gleichungen, Reaktionsgleichungen entwickeln
formulieren;chemische Formeln, Gleichungen, Reaktionsgleichungen entwickeln
Hypothesen aufstellen;eine Vermutung über einen unbekannten Sachverhalt formulieren, die fachlich fundiert begründet wird
angeben;Formeln, Regeln, Sachverhalte, Begriffe, Daten ohne Erläuterung aufzählen bzw. wiedergeben
nennen;Formeln, Regeln, Sachverhalte, Begriffe, Daten ohne Erläuterung aufzählen bzw. wiedergeben
auswerten;Beobachtungen, Daten, Einzelergebnisse oder Informationen in einen Zusammenhang stellen und daraus Schlussfolgerungen ziehen
begründen;Gründe oder Argumente für eine Vorgehensweise oder einen Sachverhalt nachvollziehbar darstellen
berechnen;die Berechnung ist ausgehend von einem Ansatz darzustellen
beschreiben;Beobachtungen, Strukturen, Sachverhalte, Methoden, Verfahren oder Zusammenhänge strukturiert und unter Verwendung der Fachsprache formulieren
bestätigen;die Gültigkeit einer Aussage feststellen
beurteilen;das zu fällende Sachurteil ist mit Hilfe fachlicher Kriterien zu begründen
bewerten;einen Sachverhalt vor dem Hintergrund gesellschaftlicher Werte und Normen einschätzen und dadurch zu einem Werturteil gelangen
darstellen;Strukturen, Sachverhalte oder Zusammenhänge strukturiert und unter Verwendung der Fachsprache formulieren
dokumentieren;bei Verwendung eines elektronischen Rechners den Lösungsweg nachvollziehbar darstellen
durchführen;an einer Experimentieranordnung zielgerichtete Messungen und Änderungen vornehmen
diskutieren;Argumente zu einer Aussage oder These einander gegenüberstellen und abwägen
erörtern;Argumente zu einer Aussage oder These einander gegenüberstellen und abwägen
entwickeln;Sachverhalte und Methoden zielgerichtet miteinander verknüpfen
erklären;einen Sachverhalt nachvollziehbar und verständlich machen
erläutern;einen Sachverhalt veranschaulichend darstellen und durch zusätzliche Informationen verständlich machen
ermitteln;ein Ergebnis oder einen Zusammenhang rechnerisch, grafisch oder experimentell bestimmen
herleiten;mithilfe bekannter Gesetzmäßigkeiten einen Zusammenhang zwischen chemischen bzw. physikalischen Größen herstellen
interpretieren;naturwissenschaftliche Ergebnisse, Beschreibungen und Annahmen in einen nachvollziehbaren Zusammenhang bringen
deuten;naturwissenschaftliche Ergebnisse, Beschreibungen und Annahmen in einen nachvollziehbaren Zusammenhang bringen
ordnen;Begriffe oder Gegenstände auf der Grundlage bestimmter Merkmale systematisch einteilen
zuordnen;Begriffe oder Gegenstände auf der Grundlage bestimmter Merkmale systematisch einteilen
planen;zu einem vorgegebenen Problem Lösungswege entwickeln und dokumentieren
protokollieren;Beobachtungen oder die Durchführung von Experimenten fachsprachlich richtig wiedergeben
prüfen;Sachverhalte oder Aussagen an Fakten oder innerer Logik messen
überprüfen;Sachverhalte oder Aussagen an Fakten oder innerer Logik messen
skizzieren;Sachverhalte, Prozesse, Strukturen oder Ergebnisse übersichtlich grafisch darstellen
untersuchen;Sachverhalte oder Phänomene mithilfe fachspezifischer Arbeitsweisen erschließen
vergleichen;Gemeinsamkeiten und Unterschiede kriteriengeleitet herausarbeiten
zeichnen;Objekte grafisch exakt darstellen
zusammenfassen;das Wesentliche in konzentrierter Form herausstellen